"date","sst_arc"
1981-09-01,0.905747856149906
1981-10-01,-0.172470547582724
1981-11-01,-0.857320736101951
1981-12-01,-1.18053743049793
1982-01-01,-1.33159892626084
1982-02-01,-1.35530571388638
1982-03-01,-1.34525160842911
1982-04-01,-1.30990273558906
1982-05-01,-1.15462590006866
1982-06-01,-0.54013553053707
1982-07-01,0.805433822217391
1982-08-01,1.30494001004836
1982-09-01,0.772735020096571
1982-10-01,-0.379324918153603
1982-11-01,-0.965127111320028
1982-12-01,-1.1385629664214
1983-01-01,-1.21915434991306
1983-02-01,-1.27626294228947
1983-03-01,-1.27624884262291
1983-04-01,-1.27360201547792
1983-05-01,-1.07966825189407
1983-06-01,-0.434712233127717
1983-07-01,0.703048000505958
1983-08-01,1.48157882890532
1983-09-01,1.10641972502481
1983-10-01,-0.223886976431866
1983-11-01,-0.940325608121917
1983-12-01,-1.1595781513926
1984-01-01,-1.25248394483477
1984-02-01,-1.23126203650237
1984-03-01,-1.24354454471587
1984-04-01,-1.23876412695214
1984-05-01,-1.0414307714601
1984-06-01,-0.214540743213286
1984-07-01,1.24121468562754
1984-08-01,1.74859728256057
1984-09-01,1.16532153253744
1984-10-01,-0.115006394588718
1984-11-01,-0.84843715806396
1984-12-01,-1.04268233050147
1985-01-01,-1.15088303067685
1985-02-01,-1.2615038036825
1985-03-01,-1.22687319040377
1985-04-01,-1.27298939980858
1985-05-01,-1.04367063204908
1985-06-01,-0.173315272042795
1985-07-01,1.15875737141572
1985-08-01,1.67518605213957
1985-09-01,1.24635007667174
1985-10-01,-0.0270819552832181
1985-11-01,-0.855332882163154
1985-12-01,-1.1565102517083
1986-01-01,-1.2808243999978
1986-02-01,-1.295299950058
1986-03-01,-1.29601907925848
1986-04-01,-1.26759405043892
1986-05-01,-1.04159353914038
1986-06-01,-0.339765072529471
1986-07-01,0.821519261830048
1986-08-01,1.36131219545636
1986-09-01,0.725876797222189
1986-10-01,-0.429031516962278
1986-11-01,-0.89663002558016
1986-12-01,-1.11943205729853
