"date","sst_ant"
1981-09-01,-1.61284478738986
1981-10-01,-1.5900531857966
1981-11-01,-1.48557784288863
1981-12-01,-1.19292074320615
1982-01-01,-0.816868197593722
1982-02-01,-0.866733347126867
1982-03-01,-1.2403780574017
1982-04-01,-1.48870600418986
1982-05-01,-1.58260257699538
1982-06-01,-1.60743375749192
1982-07-01,-1.61410654980844
1982-08-01,-1.62170686988459
1982-09-01,-1.61637754183626
1982-10-01,-1.58368019066633
1982-11-01,-1.49334256779132
1982-12-01,-1.21252349256267
1983-01-01,-0.827302845403771
1983-02-01,-0.793454669630144
1983-03-01,-1.23676801878319
1983-04-01,-1.45808562071325
1983-05-01,-1.5523515931425
1983-06-01,-1.60461294235506
1983-07-01,-1.6323916497628
1983-08-01,-1.62967420906203
1983-09-01,-1.61444691082347
1983-10-01,-1.5911717205904
1983-11-01,-1.49671330060804
1983-12-01,-1.26785625809642
1984-01-01,-0.901625341517812
1984-02-01,-0.859301868007083
1984-03-01,-1.21358239322447
1984-04-01,-1.44538556747203
1984-05-01,-1.56196750677165
1984-06-01,-1.60944214694785
1984-07-01,-1.62832578374214
1984-08-01,-1.61949618967315
1984-09-01,-1.60975458298153
1984-10-01,-1.58905913451112
1984-11-01,-1.50010795679919
1984-12-01,-1.27877850332423
1985-01-01,-0.887004081210776
1985-02-01,-0.841226243524879
1985-03-01,-1.20755255379455
1985-04-01,-1.4296630915161
1985-05-01,-1.55202357245577
1985-06-01,-1.59038944819137
1985-07-01,-1.61429085656689
1985-08-01,-1.61965861246445
1985-09-01,-1.6041524159398
1985-10-01,-1.56353348677742
1985-11-01,-1.46831300111266
1985-12-01,-1.20003049667211
1986-01-01,-0.939470934349573
1986-02-01,-0.868103685562391
1986-03-01,-1.17676210263068
1986-04-01,-1.40250364643317
1986-05-01,-1.52142563296851
1986-06-01,-1.60646823907651
1986-07-01,-1.62348985572624
1986-08-01,-1.62010752687433
1986-09-01,-1.61602893013796
1986-10-01,-1.57941531317196
1986-11-01,-1.45812795648971
1986-12-01,-1.20345620501347
1987-01-01,-0.865795094376373
1987-02-01,-0.827581225823108
1987-03-01,-1.20153883018744
1987-04-01,-1.45792744190069
1987-05-01,-1.56963352804825
1987-06-01,-1.59864652406989
1987-07-01,-1.61851401706965
1987-08-01,-1.62939317690662
1987-09-01,-1.61888465531432
1987-10-01,-1.58467862289513
1987-11-01,-1.48989302466105
1987-12-01,-1.236757324117
1988-01-01,-0.850757520361853
1988-02-01,-0.899783693542784
1988-03-01,-1.24170085614067
1988-04-01,-1.4515098686753
1988-05-01,-1.55153217538544
1988-06-01,-1.60092722563871
1988-07-01,-1.63034663418692
1988-08-01,-1.62131013928559
1988-09-01,-1.60913067917598
1988-10-01,-1.57945655403622
1988-11-01,-1.49220230399047
1988-12-01,-1.21621389000138
1989-01-01,-0.825382561434906
1989-02-01,-0.943255668412208
1989-03-01,-1.20740088867378
1989-04-01,-1.4291714074186
1989-05-01,-1.55025545413091
1989-06-01,-1.61752411458206
1989-07-01,-1.61400407738036
1989-08-01,-1.62790490437598
1989-09-01,-1.61424452963848
1989-10-01,-1.56939502624518
1989-11-01,-1.44854707523878
1989-12-01,-1.23162176282783
1990-01-01,-0.806341022571491
1990-02-01,-0.841426253325421
1990-03-01,-1.22395609700741
1990-04-01,-1.46009173774038
1990-05-01,-1.56688786754759
1990-06-01,-1.61987787473996
1990-07-01,-1.61657203430143
1990-08-01,-1.6243561001886
1990-09-01,-1.62165343552339
1990-10-01,-1.58825367108832
1990-11-01,-1.48960539513415
1990-12-01,-1.21238299847459
1991-01-01,-0.857817914625047
1991-02-01,-0.921513887274625
1991-03-01,-1.23186415121264
1991-04-01,-1.44724292235135
1991-05-01,-1.572672514663
1991-06-01,-1.60780554255911
1991-07-01,-1.61757732007064
1991-08-01,-1.62311106899907
1991-09-01,-1.61113235346558
1991-10-01,-1.57249308905112
1991-11-01,-1.45631021177045
1991-12-01,-1.15742773647675
1992-01-01,-0.832544704305246
1992-02-01,-0.827884357484901
1992-03-01,-1.20705928769378
1992-04-01,-1.47080316287167
1992-05-01,-1.56657830455806
1992-06-01,-1.60661712812196
1992-07-01,-1.62236436489582
1992-08-01,-1.61373785316733
1992-09-01,-1.60249877391922
1992-10-01,-1.55953624667675
1992-11-01,-1.40197511972742
1992-12-01,-1.04130142765657
1993-01-01,-0.639068622833431
1993-02-01,-0.697537365008032
1993-03-01,-1.08022051949722
1993-04-01,-1.42305481029994
1993-05-01,-1.56009982539966
1993-06-01,-1.60982738722165
1993-07-01,-1.6201229568843
1993-08-01,-1.6026823164855
1993-09-01,-1.60327568682283
1993-10-01,-1.55775074966163
1993-11-01,-1.40516100095071
1993-12-01,-1.09129783415945
1994-01-01,-0.810996400380943
1994-02-01,-0.898631686727328
1994-03-01,-1.17582160507103
1994-04-01,-1.41768032293151
1994-05-01,-1.55798412395988
1994-06-01,-1.61509682121559
1994-07-01,-1.63230751333108
1994-08-01,-1.63661767893141
1994-09-01,-1.60786573034719
1994-10-01,-1.58175722629187
1994-11-01,-1.48408815368871
1994-12-01,-1.26683870110345
1995-01-01,-0.919994185647403
1995-02-01,-0.786567180338383
1995-03-01,-1.09884053341535
1995-04-01,-1.43501599553252
1995-05-01,-1.55257527772504
1995-06-01,-1.59525199900074
1995-07-01,-1.62029102482441
1995-08-01,-1.62436860216596
1995-09-01,-1.61971834411105
1995-10-01,-1.57748710019895
1995-11-01,-1.47181711103665
1995-12-01,-1.2494494563152
1996-01-01,-0.930409937654682
1996-02-01,-1.00818796154631
1996-03-01,-1.25363260241656
1996-04-01,-1.4557123356332
1996-05-01,-1.57378278815655
1996-06-01,-1.62346763993752
1996-07-01,-1.63039478733104
1996-08-01,-1.62007351332168
1996-09-01,-1.61558826946928
1996-10-01,-1.59152408199829
1996-11-01,-1.48833553055532
1996-12-01,-1.21370438594863
1997-01-01,-0.784763876907009
1997-02-01,-0.860833696900664
1997-03-01,-1.27184506622258
1997-04-01,-1.47175786763417
1997-05-01,-1.58190045960758
1997-06-01,-1.60538269094535
1997-07-01,-1.64080308432897
1997-08-01,-1.63780587878993
1997-09-01,-1.62521616513606
1997-10-01,-1.59110922366045
1997-11-01,-1.47686826315078
1997-12-01,-1.18758901712568
1998-01-01,-0.825187497373532
1998-02-01,-0.837540189596468
1998-03-01,-1.2760423110352
1998-04-01,-1.46118239430068
1998-05-01,-1.5588483291282
1998-06-01,-1.59470287119034
1998-07-01,-1.62374397810917
1998-08-01,-1.61737461419669
1998-09-01,-1.61314001425616
1998-10-01,-1.58375924112024
1998-11-01,-1.49327478496292
1998-12-01,-1.26260125545553
